portfolio,type,time,amount,balance,amount/balance unit,transfer id,trade id,order id
default,deposit,2015-02-03T14:39:10.685Z,250.0000000000000000,250.0000000000000000,USD,7c8963a5-3a98-4adc-XXXX-763e2b3f8937,,
default,match,2015-02-03T14:39:36.601Z,0.0110000000000000,0.0110000000000000,BTC,,63321,6b358acf-fd5b-46d9-XXXX-763e2b3f8937
default,match,2015-02-03T14:39:36.601Z,-2.6612300000000000,247.3387700000000000,USD,,63321,6b358acf-fd5b-46d9-XXXX-763e2b3f8937
